title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name
KAREEN GUIOCK THURAM;-;;2025-04-25T21:00:00+0200;2025-04-25T23:00:00+0200;52474812;https://billetterie-concarneauscenes.tickandlive.com/reserver/kareen-guiock-thuram/95575;https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/78274a4cb834e37ccbffadd9a8b180983e19e572.jpg;Tribute to Nina Simone;
LE MALADE IMAGINAIRE;-;;2024-11-29T21:00:00+0200;2024-11-29T23:00:00+0200;52474812;https://billetterie-concarneauscenes.tickandlive.com/reserver/le-malade-imaginaire/95844;https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/09c78bf994d4e5b66cef3df164e4e3aa66a96b1c.jpg;Théâtre;
LES SEA GIRLS;-;;2025-03-30T17:30:00+0200;2025-03-30T19:30:00+0200;52474812;https://billetterie-concarneauscenes.tickandlive.com/reserver/les-sea-girls/94953;https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/96ead31df1a172b479f4f237c09edd1cd1b36bf7.jpg;Chanson humouristique;
LES VARIATIONS SILENCIEUSES;-;;2025-03-14T21:00:00+0200;2025-03-14T23:00:00+0200;52474812;https://billetterie-concarneauscenes.tickandlive.com/reserver/les-variations-silencieuses/96305;https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/628e9d79dd3cd4d930c69f198f6bb07da562f9b7.jpg;Théâtre;
MO' KALAMITY;-;;2024-11-02T21:00:00+0200;2024-11-02T23:00:00+0200;52474812;https://billetterie-concarneauscenes.tickandlive.com/reserver/mo-kalamity/95573;https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/943060e3cf87e958d61b612fc5d8f2717bc43543.jpg;Konkernoize #3;
OPERATION BRETZEL;Oldelaf et Arnaud Joyet;;2024-10-04T21:00:00+0200;2024-10-04T23:00:00+0200;52474812;https://billetterie-concarneauscenes.tickandlive.com/reserver/operation-bretzel/94342;https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/8761569870870e2faffb69d725cdb0be2a0cf113.jpg;Oldelaf;
PARPAING;-;;2025-01-24T21:00:00+0200;2025-01-24T23:00:00+0200;52474812;https://billetterie-concarneauscenes.tickandlive.com/reserver/parpaing/95843;https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/e3ad627e2b0219d484013052411e1ccf44e2fb93.jpg;Théâtre;
POIL DE CAROTTEE;-;;2025-01-26T17:30:00+0200;2025-01-26T19:30:00+0200;52474812;https://billetterie-concarneauscenes.tickandlive.com/reserver/poil-de-carotte-poil-de-carotte/96309;https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/72614968b0028b6bcf0cd99ed29998cc53511e0d.jpg;Théâtre;
SARAH McCOY;HIGH PRIESTESS;;2025-05-07T21:00:00+0200;2025-05-07T23:00:00+0200;52474812;https://billetterie-concarneauscenes.tickandlive.com/reserver/sarah-mccoy/95750;https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/7135c5dc6d2c564eff3046b31e074b4828c24d2f.jpg;;
SHANTEL & BUCOVINA CLUB;1re partie : ŚLIVOVITSǍ;;2025-05-23T21:00:00+0200;2025-05-23T23:00:00+0200;52474812;https://billetterie-concarneauscenes.tickandlive.com/reserver/shantel/94344;https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/96f936bd5a7095b1e3654200dccd90a20a138cce.jpg;;
SNIPER;-;;2024-10-18T21:00:00+0200;2024-10-18T23:00:00+0200;52474812;https://billetterie-concarneauscenes.tickandlive.com/reserver/sniper-premieres-parties/94307;https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/a7499daf1a8102fba1edb15f968c38bc41e7d27f.jpg;Groupe de hip-hop français;
VERANDA;-;;2024-11-21T21:00:00+0200;2024-11-21T23:00:00+0200;52474812;https://billetterie-concarneauscenes.tickandlive.com/reserver/veranda/95845;https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/23e6c2ebd9db542e262955751a3d492481655c97.jpg;Musique Bluegrass;
